month,year,month_num,industry,monthly_ret,monthly_vol,avg_daily_ret,med_pe,med_pb,total_mv,avg_turnover,avg_stock_count
2022-03-01,2022,3,社会服务,-0.004443829389802145,0.39325175739543905,9.836177363845908e-05,67.1945,2.5031,26534989.0639,3.6696001713429003,28.434782608695652
2022-04-01,2022,4,社会服务,-0.13473466696234837,0.5398342645564141,-0.007035555067477777,80.5172,2.4275,20446825.3266,4.7446449913007624,27.526315789473685
2022-05-01,2022,5,社会服务,0.06773216356097977,0.26637923200734914,0.0035903658930163717,81.55985000000001,2.7205,25752887.119000003,3.2196913080114076,28.473684210526315
2022-06-01,2022,6,社会服务,0.09336285157829205,0.31200705234368153,0.004442932111121171,82.73275000000001,3.42345,27360750.2429,4.22909688669249,28.333333333333332
2022-07-01,2022,7,社会服务,-0.11344083427772345,0.2742998844851395,-0.0055735390957389296,80.5172,2.7858,26795825.935200002,3.4810283634373285,29.666666666666668
2022-08-01,2022,8,社会服务,-0.006184132937516962,0.24016909761983368,-0.0001593407255505181,80.5172,3.0045,26087043.3562,2.240174172913543,29.956521739130434
2022-09-01,2022,9,社会服务,-0.07505637545173494,0.31994980025222725,-0.003515887882459919,71.519,2.8225,25341252.7316,3.1283465014036755,30.904761904761905
2022-10-01,2022,10,社会服务,-0.007415957974603815,0.32219247597525186,-0.00026973497642871587,82.6939,2.6377,25407817.103699997,3.169231291713014,30.375
2022-11-01,2022,11,社会服务,0.16588567759864792,0.3493561919402224,0.007228225282452865,88.66085000000001,3.0673,28998161.470500007,4.637255907321267,30.227272727272727
2022-12-01,2022,12,社会服务,0.07502853275459564,0.2530821897272012,0.0034147806118880932,104.0412,3.778,30289268.8548,5.905920724879496,30.272727272727273
2023-01-01,2023,1,社会服务,-0.052159908133757926,0.2167203859239124,-0.0032544183492358835,94.17665,3.0962,30973887.1696,4.365062173248054,30.3125
2023-02-01,2023,2,社会服务,0.02509558776976939,0.17491131734105372,0.0012975713832884153,98.6656,3.0172,32006084.395600002,3.276223720430108,30.95
2023-03-01,2023,3,社会服务,0.010565957334471188,0.21489166514136532,0.0005447746586600474,103.07425,3.0426,31788508.851800002,3.2253876063581113,30.91304347826087
2023-04-01,2023,4,社会服务,-0.052772952348130064,0.2810352228962453,-0.00270075870612137,169.3133,3.1189,28463371.8111,4.040021286809906,30.473684210526315
2023-05-01,2023,5,社会服务,-0.06959041888296902,0.20472893382202995,-0.0035205551290877477,167.78525,3.0038,26487041.968700003,2.9212863602150536,30.6
2023-06-01,2023,6,社会服务,-0.002433334035189305,0.2497757821114532,-4.813084285242107e-06,155.6167,2.98665,26415969.4142,2.9889012043010754,30.85
2023-07-01,2023,7,社会服务,0.05947473361864053,0.1619429920143726,0.002803916918349756,161.67174999999997,3.2148,28512952.9245,2.557311520737327,30.904761904761905
2023-08-01,2023,8,社会服务,-0.0910858690990165,0.19113431836641206,-0.004074520311977181,80.5172,2.9358,25012471.438400004,3.093932772323516,30.695652173913043
2023-09-01,2023,9,社会服务,-0.022515266841905635,0.22493898796333234,-0.0010423277431843828,80.5172,2.7452,24175440.8193,2.3893866935483876,30.85
2023-10-01,2023,10,社会服务,-0.056567137761622255,0.27116174663994386,-0.0032810776085347285,41.4467,2.6254,22977978.3194,1.720710265654649,30.823529411764707
2023-11-01,2023,11,社会服务,0.06246110218991352,0.10788194966203124,0.002779742926873825,44.5326,2.7028499999999998,24231254.2376,2.1287749022482894,30.863636363636363
2023-12-01,2023,12,社会服务,-0.05432225635550114,0.23883998233063702,-0.0025476078126956164,43.7225,2.6733,23053006.474099997,2.612357197768244,30.761904761904763
2024-01-01,2024,1,社会服务,-0.15573267561417858,0.41086607682032356,-0.0073387093484927855,37.0236,2.22865,19426965.369300004,3.0399537152391543,30.545454545454547
2024-02-01,2024,2,社会服务,0.05788429834246722,0.4969404938261358,0.004218132098023222,39.306,2.3453,21256156.5871,3.206799268570016,29.866666666666667
2024-03-01,2024,3,社会服务,0.04347782441732462,0.22828650371449066,0.002127227990512049,41.3859,2.5389,21224781.594299998,3.04711813729793,30.476190476190474
2024-04-01,2024,4,社会服务,-0.03519577876130464,0.41590750482664013,-0.0014569622781735207,42.4476,2.7645,20996216.461799998,3.8334535035546744,29.9
2024-05-01,2024,5,社会服务,-0.05917724934444968,0.19608613636826017,-0.00297226970750059,44.6616,2.7256,20488595.399500005,2.8046009623655914,30.65
